"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","ZAP Security Check","1","0","I need to run security check","0"
"0","","0","Accessibility Testing","1","0","Check accessibility of the website","0"
